"sf__Id","sf__Error",Id,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002RHA6DQAX","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002RHA6DQAX","true","In HubSpot - Not Synced"
"0032A00002ZsjGfQAJ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002ZsjGfQAJ","true","In HubSpot - Not Synced"
"0032A00002a1eLxQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002a1eLxQAI","true","In HubSpot - Not Synced"
"0032A00002ayzDHQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002ayzDHQAY","true","In HubSpot - Not Synced"
"0032A00002ayzESQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002ayzESQAY","true","In HubSpot - Not Synced"
"0032A00002ayzOTQAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002ayzOTQAY","true","In HubSpot - Not Synced"
"0032A00002ayzbkQAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002ayzbkQAA","true","In HubSpot - Not Synced"
"0032A00002ayzfBQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002ayzfBQAQ","true","In HubSpot - Not Synced"
"0032A00002ayzhVQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002ayzhVQAQ","true","In HubSpot - Not Synced"
"0032A00002ayzvYQAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002ayzvYQAQ","true","In HubSpot - Not Synced"
"0032A00002az0QqQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: In HubSpot - Not Synced:Sync_Status__c --","0032A00002az0QqQAI","true","In HubSpot - Not Synced"
