"sf__Id","sf__Error",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002azmUhQAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: 2017-06-28T14:10:29.000+0000:Sync_Status__c --","0032A00002azmUhQAI","Duplicate","Master: 0033j00003wP0vuAAC","false","2017-06-28T14:10:29.000+0000"
"0032A00002azq84QAA","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Sync Status: bad value for restricted picklist field: 2017-06-28T14:14:17.000+0000:Sync_Status__c --","0032A00002azq84QAA","Duplicate","Master: 0032A00002azr3gQAA","false","2017-06-28T14:14:17.000+0000"
"0032A000032JnagQAC","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0032A000032JnagQAC","Duplicate","Master: 0032A00002azqD3QAI","false","Not Synced"
"0032A000039MPt5QAG","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0032A000039MPt5QAG","Duplicate","Master: 0032A00002ayysqQAA","false","Not Synced"
"0033j00002OEW5sAAH","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j00002OEW5sAAH","Duplicate","Master: 0033j00003wOYwnAAG","false","Not Synced"
"0033j00003FfGSEAA3","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j00003FfGSEAA3","Duplicate","Master: 003Rh000007oAt2IAE","false","Not Synced"
"0033j00003OQsA4AAL","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j00003OQsA4AAL","Duplicate","Master: 0032A00002kL2DKQA0","false","Not Synced"
"0033j00003kfMFYAA2","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j00003kfMFYAA2","Duplicate","Master: 0033j00004B1vwKAAR","false","Not Synced"
"0033j00003of9GdAAI","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j00003of9GdAAI","Duplicate","Master: 0033j00003wOesKAAS","false","Not Synced"
"0033j00003q4wSEAAY","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Duplicate:Clean_Status__c --","0033j00003q4wSEAAY","Duplicate","Master: 003Rh00000YN1fnIAD","false","Not Synced"
