"sf__Id","sf__Created",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002ayzsZQAQ","false","0032A00002ayzsZQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzsbQAA","false","0032A00002ayzsbQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzsiQAA","false","0032A00002ayzsiQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzspQAA","false","0032A00002ayzspQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzsrQAA","false","0032A00002ayzsrQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzt5QAA","false","0032A00002ayzt5QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzt8QAA","false","0032A00002ayzt8QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayztZQAQ","false","0032A00002ayztZQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayztoQAA","false","0032A00002ayztoQAA","Delete","No Email or Phone","false","Not Synced"
"0032A00002ayztpQAA","false","0032A00002ayztpQAA","Delete","No Email or Phone","false","Not Synced"
"0032A00002ayztzQAA","false","0032A00002ayztzQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzuJQAQ","false","0032A00002ayzuJQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzuKQAQ","false","0032A00002ayzuKQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzuQQAQ","false","0032A00002ayzuQQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzuRQAQ","false","0032A00002ayzuRQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzuYQAQ","false","0032A00002ayzuYQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzuhQAA","false","0032A00002ayzuhQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzumQAA","false","0032A00002ayzumQAA","Delete","No Email or Phone","false","Not Synced"
"0032A00002ayzutQAA","false","0032A00002ayzutQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzvMQAQ","false","0032A00002ayzvMQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002ayzvWQAQ","false","0032A00002ayzvWQAQ","Delete","No Activity 3+ Years","false","Not Synced"
