Id,Clean_Status__c,Sync_Status__c
0033j000048rRysAAE,OK,Not Synced
0033j000048rRytAAE,OK,Not Synced
0033j000048rRyuAAE,OK,Not Synced
0033j000048rRyvAAE,OK,Not Synced
0033j000048rRywAAE,OK,Not Synced
0033j000048rRyxAAE,OK,Not Synced
0033j000048rSFAAA2,OK,Not Synced
0033j000048rSeHAAU,OK,Not Synced
0033j000048rSeRAAU,OK,Not Synced
0033j000048rTN7AAM,OK,Not Synced
0033j000048rTOKAA2,OK,Not Synced
0033j000048rTsoAAE,OK,Not Synced
0033j000049CX9nAAG,OK,Not Synced
0033j000049CX9oAAG,OK,Not Synced
0033j000049CX9pAAG,OK,Not Synced
0033j000049CYltAAG,OK,Not Synced
0033j000049CZUvAAO,OK,Not Synced
0033j000049CZUwAAO,OK,Not Synced
0033j000049CZUxAAO,OK,Not Synced
0033j000049CZUyAAO,OK,Not Synced
0033j000049CZUzAAO,OK,Not Synced
0033j000049CZV0AAO,OK,Not Synced
0033j000049CZV1AAO,OK,Not Synced
0033j000049CZV2AAO,OK,Not Synced
0033j000049CZV4AAO,OK,Not Synced
0033j000049CZV5AAO,OK,Not Synced
0033j000049CZV6AAO,OK,Not Synced
0033j000049CZV7AAO,OK,Not Synced
0033j000049CZV8AAO,OK,Not Synced
0033j000049CZV9AAO,OK,Not Synced
0033j000049CZniAAG,OK,Not Synced
0033j000049CZzqAAG,OK,Not Synced
0033j000049CaGuAAK,OK,Not Synced
0033j000049CaGvAAK,OK,Not Synced
0033j000049CaRiAAK,OK,Not Synced
0033j000049CajcAAC,OK,Not Synced
0033j000049CajdAAC,OK,Not Synced
0033j000049CajeAAC,OK,Not Synced
0033j000049CajfAAC,OK,Not Synced
0033j000049Cb96AAC,OK,Not Synced
0033j000049CbuXAAS,OK,Not Synced
0033j000049CjFrAAK,OK,Not Synced
0033j000049CjGzAAK,OK,Not Synced
0033j000049CjTAAA0,OK,Not Synced
0033j000049CkgeAAC,OK,Not Synced
0033j000049Cky9AAC,OK,Not Synced
0033j000049CkyBAAS,OK,Not Synced
0033j000049ClSKAA0,OK,Not Synced
0033j000049ClZ5AAK,OK,Not Synced
0033j000049ClZ6AAK,OK,Not Synced
0033j000049ClZ8AAK,OK,Not Synced
0033j000049ClZ9AAK,OK,Not Synced
0033j000049ClePAAS,OK,Not Synced
0033j000049ClksAAC,OK,Not Synced
0033j000049Clo5AAC,OK,Not Synced
0033j000049Clo6AAC,OK,Not Synced
0033j000049ClsMAAS,OK,Not Synced
0033j000049Clt0AAC,OK,Not Synced
0033j000049CmOjAAK,OK,Not Synced
0033j000049Df9TAAS,OK,Not Synced
0033j000049DfS7AAK,OK,Not Synced
0033j000049DlvIAAS,OK,Not Synced
0033j000049DlvJAAS,OK,Not Synced
0033j000049DlvKAAS,OK,Not Synced
0033j000049DlxEAAS,OK,Not Synced
0033j000049DlxFAAS,OK,Not Synced
0033j000049DlxGAAS,OK,Not Synced
0033j000049DlxHAAS,OK,Not Synced
0033j000049DlxIAAS,OK,Not Synced
0033j000049DmfbAAC,OK,Not Synced
0033j000049DnMAAA0,OK,Not Synced
0033j000049DnN8AAK,OK,Not Synced
0033j000049DnNBAA0,OK,Not Synced
0033j000049DnNDAA0,OK,Not Synced
0033j000049DnNEAA0,OK,Not Synced
0033j000049DnNFAA0,OK,Not Synced
0033j000049DnNHAA0,OK,Not Synced
0033j000049DnNIAA0,OK,Not Synced
0033j000049DnNJAA0,OK,Not Synced
0033j000049DnNLAA0,OK,Not Synced
0033j000049DnNMAA0,OK,Not Synced
0033j000049DnNNAA0,OK,Not Synced
0033j000049DnNOAA0,OK,Not Synced
0033j000049DoMDAA0,OK,Not Synced
0033j000049DoQPAA0,OK,Not Synced
0033j000049DpEIAA0,OK,Not Synced
0033j000049DpFkAAK,OK,Not Synced
0033j000049DpFuAAK,OK,Not Synced
0033j000049DpFzAAK,OK,Not Synced
0033j000049DqA0AAK,OK,Not Synced
0033j000049DqOAAA0,OK,Not Synced
0033j000049DqOBAA0,OK,Not Synced
0033j000049DqPdAAK,OK,Not Synced
0033j000049DqPeAAK,OK,Not Synced
0033j000049DqQyAAK,OK,Not Synced
0033j000049DqS6AAK,OK,Not Synced
0033j000049DqV5AAK,OK,Not Synced
0033j000049DqdEAAS,OK,Not Synced
0033j000049DqgNAAS,OK,Not Synced
0033j000049DqkyAAC,OK,Not Synced
0033j000049DqoCAAS,OK,Not Synced
0033j000049Duc0AAC,OK,Not Synced
0033j000049Duj1AAC,OK,Not Synced
0033j000049DukxAAC,OK,Not Synced
0033j000049DuncAAC,OK,Not Synced
0033j000049DwE5AAK,OK,Not Synced
0033j000049DwIvAAK,OK,Not Synced
0033j000049DwUNAA0,OK,Not Synced
0033j000049DwfJAAS,OK,Not Synced
0033j000049DxXzAAK,OK,Not Synced
0033j000049DxunAAC,OK,Not Synced
0033j000049DyEXAA0,OK,Not Synced
0033j000049DyEYAA0,OK,Not Synced
0033j000049DyEZAA0,OK,Not Synced
0033j000049DyEaAAK,OK,Not Synced
0033j000049DyJhAAK,OK,Not Synced
