Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002ayzsZQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzsbQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzsiQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzspQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzsrQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzt5QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzt8QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayztZQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayztoQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002ayztpQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002ayztzQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzuJQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzuKQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzuQQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzuRQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzuYQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzuhQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzumQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002ayzutQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzvMQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzvWQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzvbQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002ayzvvQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzw1QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzw4QAA,Delete,"Inactive 3+ Years",false,Not Synced
0032A00002ayzwLQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzwWQAQ,Delete,"No Email or Phone",false,Not Synced
0032A00002ayzwlQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzwnQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzwtQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzwuQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzxLQAQ,Delete,"No Email or Phone",false,Not Synced
0032A00002ayzxPQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzxqQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzxxQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzy1QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzy3QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzy5QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzy9QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzyKQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzyTQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzyZQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzyvQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzywQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzzCQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzzQQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzzaQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzzgQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002ayzzmQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az005QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az006QAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az00EQAQ,Duplicate,"Master: 0033j00003wOdorAAC",false,Not Synced
0032A00002az00gQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az00jQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az01XQAQ,Delete,"No Email or Phone",false,Not Synced
0032A00002az01bQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az01cQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az01jQAA,Delete,"Inactive 3+ Years",false,Not Synced
0032A00002az01kQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az01mQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az01tQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az029QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az02MQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az02PQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az02XQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az02dQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az02yQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az03BQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az03CQAQ,Delete,"No Email or Phone",false,Not Synced
0032A00002az03HQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az03LQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az03MQAQ,Duplicate,"Master: 0033j00003wOZOlAAO",false,Not Synced
0032A00002az03cQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az03iQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az03sQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az03zQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az042QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az04fQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az04xQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az050QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az05DQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az05RQAQ,Archive,"Old Inactive Contact",false,Not Synced
0032A00002az05tQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az05vQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az05wQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az063QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az06BQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az06OQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az06jQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az06mQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07NQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07OQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07RQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07gQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az07oQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az089QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az08OQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az08QQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az08WQAQ,Duplicate,"Master: 0033j00004B1sqgAAB",false,Not Synced
0032A00002az08pQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az08tQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az08vQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az094QAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09EQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09HQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09MQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09TQAQ,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09eQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az09qQAA,Delete,"No Email or Phone",false,Not Synced
0032A00002az09tQAA,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0AwQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0BLQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0BRQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0BgQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0BmQAI,Archive,"Old Inactive Contact",false,Not Synced
0032A00002az0BwQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0C8QAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0CDQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0CeQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0CgQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0CuQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0D6QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DFQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DHQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DPQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DdQAI,Delete,"No Email or Phone",false,Not Synced
0032A00002az0DqQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0DxQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0E5QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0EJQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0EMQAY,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0EmQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0EzQAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0F0QAI,Delete,"No Activity 3+ Years",false,Not Synced
0032A00002az0FCQAY,Delete,"No Activity 3+ Years",false,Not Synced
