Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002XQQV3QAP,Archive,Old Inactive Contact,false,Not Synced
0032A00002XQQZeQAP,Archive,Old Inactive Contact,false,Not Synced
0032A00002XQQgfQAH,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XQQoyQAH,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XQQznQAH,Archive,Old Inactive Contact,false,Not Synced
0032A00002XQWVfQAP,Archive,Old Inactive Contact,false,Not Synced
0032A00002XQc44QAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XQcVuQAL,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XQcvmQAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002XQdcCQAT,OK,,false,Not Synced
0032A00002XQdfLQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002XQdt3QAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002XQeBqQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002XQenkQAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XQfvHQAT,OK,,false,Not Synced
0032A00002XQg1TQAT,Duplicate,Master: 0032A00002a2fDlQAI,false,Not Synced
0032A00002XQh3pQAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XQhJAQA1,OK,,false,Not Synced
0032A00002XQhSbQAL,Duplicate,Master: 0032A00002Rm6aaQAB,false,Not Synced
0032A00002XR3ymQAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XR5MVQA1,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XR6OdQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002XR7wzQAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002XR8RsQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002XRIEuQAP,OK,,false,Not Synced
0032A00002XRLM1QAP,OK,,false,Not Synced
0032A00002XRLqpQAH,OK,,false,Not Synced
0032A00002XRMF0QAP,OK,,false,Not Synced
0032A00002XRONjQAP,OK,,false,Not Synced
0032A00002XRPN1QAP,OK,,false,Not Synced
0032A00002XRPPyQAP,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XRQ64QAH,Archive,Old Inactive Contact,false,Not Synced
0032A00002XRSB8QAP,Duplicate,Master: 0032A00002XihEUQAZ,false,Not Synced
0032A00002Xif0sQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XifdBQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Xig8ZQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002XigYrQAJ,OK,,false,Not Synced
0032A00002XihEUQAZ,OK,,false,Not Synced
0032A00002XihZLQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Xii00QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002XiiXSQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XjG0OQAV,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XjX4qQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002XjaN7QAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Xjd4hQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XjdfPQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Xjdh5QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002XjdlvQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XjdpYQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XjdrjQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Xjdw0QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Xje0MQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XjeC3QAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002XklQqQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Xkub2QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Xl1hcQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Xl4NQQAZ,Archive,Old Inactive Contact,false,Not Synced
