Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c,Description
0032A00002ayydGQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayydIQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayydJQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayydOQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayydgQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayydrQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyeQQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyeTQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyeUQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyegQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyenQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyerQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyf3QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyf5QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyf9QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyfTQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyfUQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyfYQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyfdQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyfrQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyfzQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayygDQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayygTQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayygcQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhBQAQ,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyhGQAQ,Archive,Old Record - Low Activity,false,Not Synced,
0032A00002ayyhJQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhOQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhQQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhSQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhZQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhbQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyhrQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhsQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhtQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyhxQAA,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayyi1QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyi2QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyiBQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyiDQAQ,Archive,Old Record - Low Activity,false,Not Synced,
0032A00002ayyiTQAQ,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayyioQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyipQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyjEQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyjJQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyjLQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyjTQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayykuQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayylIQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayylLQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayylNQAQ,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayylbQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyliQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyluQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayym2QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayymIQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayymMQAQ,Delete,Inactive 3+ Years,false,Not Synced,
0032A00002ayymSQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayymWQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayymYQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayymZQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayympQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayymwQAA,Delete,No Email or Phone,false,Not Synced,
0032A00002ayyn3QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayyn4QAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayynCQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayynTQAQ,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayynaQAA,OK,,false,Not Synced,
0032A00002ayyneQAA,Delete,No Activity 3+ Years,false,Not Synced,
0032A00002ayynwQAA,Delete,No Activity 3+ Years,false,Not Synced,
