Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002ayzcJQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzcQQAQ,Archive,Old Record - Low Activity,false,Not Synced
0032A00002ayzd1QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzdMQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzdOQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzdiQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzdqQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzdyQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzeAQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzeDQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzeLQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzeaQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzenQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzevQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzeyQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzfGQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzfIQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzfUQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzfZQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzfoQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzfuQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzfxQAA,Archive,Old Record - Low Activity,false,Not Synced
0032A00002ayzg5QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzgYQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzgcQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzghQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzgmQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzgsQAA,Delete,No Email or Phone,false,Not Synced
0032A00002ayzh0QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzh4QAA,Delete,No Email or Phone,false,Not Synced
0032A00002ayzhZQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzhvQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzhwQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzi5QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzi8QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayziFQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayziGQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayziTQAQ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzijQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzikQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzipQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayziyQAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzj3QAA,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ayzjAQAQ,Delete,No Activity 3+ Years,false,Not Synced
