Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002aOHzDQAW,Review,,false,Not Synced
0032A00002aOHzEQAW,Review,,false,Not Synced
0032A00002aOHzFQAW,Review,,false,Not Synced
0032A00002aOHzGQAW,Review,,false,Not Synced
0032A00002aOHzHQAW,Review,,false,Not Synced
0032A00002aOHzIQAW,Review,,false,Not Synced
0032A00002aOHzJQAW,Review,,false,Not Synced
0032A00002aOHzKQAW,Review,,false,Not Synced
0032A00002aOHzLQAW,Review,,false,Not Synced
0032A00002aOHzMQAW,Review,,false,Not Synced
0032A00002aOHzNQAW,Review,,false,Not Synced
0032A00002aOHzOQAW,Review,,false,Not Synced
0032A00002aOHzPQAW,Review,,false,Not Synced
0032A00002aOHzQQAW,Review,,false,Not Synced
0032A00002aOHzRQAW,Review,,false,Not Synced
0032A00002aOHzeQAG,Review,,false,Not Synced
0032A00002aOHzfQAG,Review,,false,Not Synced
0032A00002aOHzjQAG,Review,,false,Not Synced
0032A00002aOHzlQAG,Review,,false,Not Synced
0032A00002aOHzmQAG,Review,,false,Not Synced
0032A00002aOHznQAG,Review,,false,Not Synced
0032A00002aOHzoQAG,Review,,false,Not Synced
0032A00002aOHzpQAG,Review,,false,Not Synced
0032A00002aOHzqQAG,Review,,false,Not Synced
0032A00002aOHzrQAG,Review,,false,Not Synced
0032A00002aOHzsQAG,Review,,false,Not Synced
0032A00002aOHzuQAG,Review,,false,Not Synced
0032A00002aOHzvQAG,Review,,false,Not Synced
0032A00002aOHzwQAG,Review,,false,Not Synced
0032A00002aOHzxQAG,Review,,false,Not Synced
0032A00002aOHzyQAG,Review,,false,Not Synced
0032A00002aOHzzQAG,Review,,false,Not Synced
0032A00002aOI00QAG,Review,,false,Not Synced
0032A00002aOI01QAG,Review,,false,Not Synced
0032A00002aOI03QAG,Review,,false,Not Synced
0032A00002aOI04QAG,Review,,false,Not Synced
0032A00002aOI05QAG,Review,,false,Not Synced
0032A00002aOI07QAG,Review,,false,Not Synced
0032A00002aOI09QAG,Review,,false,Not Synced
0032A00002aOI0CQAW,Review,,false,Not Synced
0032A00002aOI0DQAW,Review,,false,Not Synced
0032A00002aOI0FQAW,Review,,false,Not Synced
0032A00002aOI0GQAW,Review,,false,Not Synced
0032A00002aOI0HQAW,Review,,false,Not Synced
0032A00002aOI0IQAW,Review,,false,Not Synced
0032A00002aOI0JQAW,Review,,false,Not Synced
0032A00002aOI0KQAW,Review,,false,Not Synced
0032A00002aOI0LQAW,Review,,false,Not Synced
0032A00002aOI0MQAW,Review,,false,Not Synced
0032A00002aOI0OQAW,Review,,false,Not Synced
0032A00002aOI0PQAW,Review,,false,Not Synced
0032A00002aOI0QQAW,Review,,false,Not Synced
0032A00002aOI0RQAW,Review,,false,Not Synced
0032A00002aOI0SQAW,Review,,false,Not Synced
0032A00002aOI0UQAW,Review,,false,Not Synced
