Id,Clean_Status__c
0033j00003zjEeOAAU,OK
0033j00003zjEePAAU,OK
0033j00003zjEeQAAU,Duplicate
0033j00003zjEeRAAU,OK
0033j00003zjEeSAAU,Delete
0033j00003zjEeTAAU,OK
0033j00003zjEeUAAU,Duplicate
0033j00003zjEeVAAU,Delete
0033j00003zjEeWAAU,OK
0033j00003zjEeXAAU,OK
0033j00003zjEeYAAU,OK
0033j00003zjEeZAAU,OK
0033j00003zjEeaAAE,Delete
0033j00003zjEebAAE,OK
0033j00003zjEecAAE,OK
0033j00003zjEedAAE,OK
0033j00003zjEeeAAE,OK
0033j00003zjEefAAE,Delete
0033j00003zjEegAAE,Delete
0033j00003zjEehAAE,Duplicate
0033j00003zjEeiAAE,Delete
0033j00003zjEejAAE,OK
0033j00003zjEekAAE,Duplicate
0033j00003zjEelAAE,OK
0033j00003zjEemAAE,OK
0033j00003zjEenAAE,Duplicate
0033j00003zjEeoAAE,Delete
0033j00003zjEepAAE,OK
0033j00003zjEeqAAE,Delete
0033j00003zjEerAAE,OK
0033j00003zjEesAAE,Delete
0033j00003zjEeuAAE,Delete
0033j00003zjEevAAE,Duplicate
0033j00003zjEewAAE,Delete
0033j00003zjEexAAE,OK
0033j00003zjEeyAAE,OK
0033j00003zjEezAAE,Duplicate
0033j00003zjEf0AAE,OK
0033j00003zjEf1AAE,OK
0033j00003zjEf2AAE,OK
0033j00003zjEf3AAE,Duplicate
0033j00003zjEf4AAE,OK
0033j00003zjEf5AAE,OK
0033j00003zjEf6AAE,Delete
0033j00003zjEf7AAE,Duplicate
0033j00003zjEf9AAE,Duplicate
0033j00003zjEfAAAU,Duplicate
0033j00003zjEfBAAU,OK
0033j00003zjEfCAAU,Duplicate
0033j00003zjEfDAAU,Duplicate
0033j00003zjEfEAAU,OK
0033j00003zjEfFAAU,Duplicate
0033j00003zjEfGAAU,OK
0033j00003zjEfHAAU,OK
0033j00003zjEfIAAU,OK
0033j00003zjEfJAAU,Delete
0033j00003zjEfKAAU,Delete
0033j00003zjEfLAAU,Duplicate
0033j00003zjEfMAAU,Duplicate
0033j00003zjEfNAAU,OK
0033j00003zjEfOAAU,OK
0033j00003zjEfPAAU,Delete
0033j00003zjEfQAAU,Delete
0033j00003zjEfRAAU,Delete
0033j00003zjEfSAAU,OK
0033j00003zjEfTAAU,OK
0033j00003zjEfUAAU,Duplicate
0033j00003zjEfVAAU,OK
0033j00003zjEfWAAU,OK
0033j00003zjEfXAAU,OK
0033j00003zjEfYAAU,Duplicate
0033j00003zjEfZAAU,OK
0033j00003zjEfaAAE,OK
0033j00003zjEfbAAE,OK
0033j00003zjEfcAAE,Delete
0033j00003zjEfdAAE,Delete
0033j00003zjEfeAAE,OK
0033j00003zjEffAAE,Delete
0033j00003zjEfgAAE,Delete
0033j00003zjEfiAAE,Duplicate
0033j00003zjEfjAAE,Delete
0033j00003zjEfkAAE,OK
0033j00003zjEflAAE,Duplicate
0033j00003zjEfmAAE,Duplicate
0033j00003zjEfnAAE,Duplicate
