Id,Clean_Status__c,Delete_Reason__c
0032A00002az35dQAA,Archive,Old Inactive Contact
0032A00002az35eQAA,Delete,No Activity 3+ Years
0032A00002az35fQAA,Duplicate,Master: 0032A00002azr7MQAQ
0032A00002az35gQAA,Duplicate,Master: 0032A00002ayzZpQAI
0032A00002az35hQAA,OK,
0032A00002az35iQAA,Archive,Old Inactive Contact
0032A00002az35jQAA,OK,
0032A00002az35kQAA,Delete,No Activity 3+ Years
0032A00002az35lQAA,Delete,No Email or Phone
0032A00002az35mQAA,Archive,Old Inactive Contact
0032A00002az35nQAA,Delete,No Activity 3+ Years
0032A00002az35oQAA,Archive,Old Inactive Contact
0032A00002az35pQAA,Delete,No Activity 3+ Years
0032A00002az35qQAA,Delete,No Activity 3+ Years
0032A00002az35rQAA,Archive,Old Inactive Contact
0032A00002az35sQAA,Delete,No Activity 3+ Years
0032A00002az35tQAA,Delete,No Email or Phone
0032A00002az35uQAA,Archive,Old Inactive Contact
0032A00002az35vQAA,Archive,Old Inactive Contact
0032A00002az35wQAA,OK,
0032A00002az35xQAA,Delete,No Activity 3+ Years
0032A00002az35yQAA,Delete,No Activity 3+ Years
0032A00002az35zQAA,Delete,No Activity 3+ Years
0032A00002az360QAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az361QAA,Archive,Old Inactive Contact
0032A00002az362QAA,Archive,Old Inactive Contact
0032A00002az363QAA,Archive,Old Inactive Contact
0032A00002az364QAA,Duplicate,Master: 0032A00002az2mEQAQ
0032A00002az365QAA,Delete,No Activity 3+ Years
0032A00002az366QAA,OK,
0032A00002az367QAA,Delete,No Activity 3+ Years
0032A00002az368QAA,Delete,No Activity 3+ Years
0032A00002az369QAA,Delete,No Activity 3+ Years
0032A00002az36AQAQ,Duplicate,Master: 0032A00002az4IjQAI
0032A00002az36BQAQ,Archive,Old Inactive Contact
0032A00002az36CQAQ,Archive,Old Inactive Contact
0032A00002az36DQAQ,Archive,Old Inactive Contact
0032A00002az36EQAQ,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az36FQAQ,Delete,No Activity 3+ Years
0032A00002az36GQAQ,Delete,No Activity 3+ Years
0032A00002az36HQAQ,Delete,No Activity 3+ Years
0032A00002az36IQAQ,Archive,Old Inactive Contact
0032A00002az36JQAQ,Duplicate,Master: 0032A00002az1BaQAI
0032A00002az36KQAQ,Delete,No Activity 3+ Years
0032A00002az36LQAQ,OK,
0032A00002az36MQAQ,Archive,Old Inactive Contact
0032A00002az36NQAQ,Archive,Old Inactive Contact
0032A00002az36OQAQ,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az36PQAQ,Delete,No Activity 3+ Years
0032A00002az36QQAQ,Archive,Old Inactive Contact
0032A00002az36RQAQ,Delete,No Activity 3+ Years
0032A00002az36SQAQ,Archive,Old Inactive Contact
0032A00002az36TQAQ,Archive,Old Inactive Contact
0032A00002az36UQAQ,Duplicate,Master: 0033j00003wOc7DAAS
0032A00002az36VQAQ,OK,
0032A00002az36lQAA,Delete,No Activity 3+ Years
0032A00002az36mQAA,Duplicate,Master: 0033j00003wPChzAAG
0032A00002az36nQAA,Archive,Old Inactive Contact
0032A00002az36oQAA,Archive,Old Inactive Contact
0032A00002az36pQAA,OK,
0032A00002az36qQAA,Archive,Old Inactive Contact
0032A00002az36rQAA,OK,
0032A00002az36sQAA,Delete,No Activity 3+ Years
0032A00002az36tQAA,Archive,Old Inactive Contact
0032A00002az36uQAA,Duplicate,Master: 0032A00002azqKTQAY
0032A00002az36vQAA,Archive,Old Inactive Contact
0032A00002az36wQAA,Archive,Old Inactive Contact
0032A00002az36xQAA,Delete,No Activity 3+ Years
0032A00002az36yQAA,Delete,No Activity 3+ Years
0032A00002az36zQAA,Delete,No Activity 3+ Years
0032A00002az370QAA,Duplicate,Master: 0032A00002azptYQAQ
0032A00002az371QAA,Delete,No Activity 3+ Years
0032A00002az372QAA,Delete,No Activity 3+ Years
0032A00002az373QAA,Archive,Old Inactive Contact
0032A00002az374QAA,Archive,Old Inactive Contact
0032A00002az375QAA,Delete,No Activity 3+ Years
0032A00002az376QAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az377QAA,OK,
0032A00002az378QAA,Duplicate,Master: 0032A00002Z2TAHQA3
0032A00002az379QAA,Delete,No Activity 3+ Years
0032A00002az37AQAQ,Archive,Old Inactive Contact
0032A00002az37BQAQ,Delete,No Activity 3+ Years
0032A00002az37CQAQ,OK,
0032A00002az37DQAQ,Archive,Old Inactive Contact
0032A00002az37EQAQ,Duplicate,Master: 003F000001Vi0iUIAR
0032A00002az37FQAQ,Duplicate,Master: 0032A00002azmZqQAI
0032A00002az37GQAQ,Delete,No Activity 3+ Years
0032A00002az37HQAQ,Delete,No Activity 3+ Years
0032A00002az37IQAQ,Delete,No Activity 3+ Years
0032A00002az37JQAQ,Delete,No Activity 3+ Years
0032A00002az37KQAQ,Duplicate,Master: 0032A00002TVyZBQA1
0032A00002az37LQAQ,Delete,No Activity 3+ Years
0032A00002az37MQAQ,Delete,No Activity 3+ Years
0032A00002az37NQAQ,Delete,No Activity 3+ Years
0032A00002az37OQAQ,Duplicate,Master: 0033j00004B1ooPAAR
0032A00002az37PQAQ,Archive,Old Inactive Contact
0032A00002az37QQAQ,Archive,Old Inactive Contact
0032A00002az37RQAQ,Archive,Old Inactive Contact
0032A00002az37SQAQ,Delete,No Activity 3+ Years
0032A00002az37TQAQ,Duplicate,Master: 0032A00002az2bdQAA
0032A00002az37UQAQ,OK,
0032A00002az37VQAQ,OK,
0032A00002az37WQAQ,Delete,No Activity 3+ Years
0032A00002az37XQAQ,Delete,No Activity 3+ Years
0032A00002az37ZQAQ,Duplicate,Master: 0032A00002azmgwQAA
0032A00002az37aQAA,Duplicate,Master: 0032A00002aznJTQAY
0032A00002az37bQAA,Delete,No Activity 3+ Years
0032A00002az37cQAA,Archive,Old Inactive Contact
0032A00002az37dQAA,Delete,No Activity 3+ Years
0032A00002az37eQAA,Archive,Old Inactive Contact
0032A00002az37fQAA,Duplicate,Master: 0032A00002ZotDdQAJ
0032A00002az37gQAA,Delete,No Activity 3+ Years
0032A00002az37hQAA,OK,
0032A00002az37iQAA,Duplicate,Master: 003Rh00000LaFS6IAN
0032A00002az37jQAA,Delete,No Activity 3+ Years
0032A00002az37kQAA,Delete,No Activity 3+ Years
0032A00002az37lQAA,OK,
0032A00002az37mQAA,Duplicate,Master: 0032A00002az2N9QAI
0032A00002az37nQAA,Delete,No Activity 3+ Years
0032A00002az37oQAA,Duplicate,Master: 0032A00002az0DuQAI
0032A00002az37pQAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az37qQAA,Duplicate,Master: 0032A00002azquWQAQ
0032A00002az37rQAA,Delete,No Activity 3+ Years
0032A00002az37sQAA,Delete,No Activity 3+ Years
0032A00002az37tQAA,Delete,No Activity 3+ Years
0032A00002az37uQAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az37vQAA,Delete,No Activity 3+ Years
0032A00002az37wQAA,Duplicate,Master: 0033j00003wP12GAAS
0032A00002az37xQAA,Duplicate,Master: 003Rh000002TibpIAC
0032A00002az37yQAA,Archive,Old Inactive Contact
0032A00002az37zQAA,Duplicate,Master: 0032A00002azmgwQAA
0032A00002az380QAA,Delete,No Activity 3+ Years
0032A00002az383QAA,Duplicate,Master: 0032A00002azow6QAA
0032A00002az384QAA,Duplicate,Master: 0033j00003wOdeJAAS
0032A00002az385QAA,Archive,Old Inactive Contact
0032A00002az386QAA,Delete,No Activity 3+ Years
0032A00002az387QAA,Archive,Old Inactive Contact
0032A00002az388QAA,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az389QAA,Delete,No Activity 3+ Years
0032A00002az38AQAQ,Delete,No Activity 3+ Years
0032A00002az38BQAQ,Delete,No Activity 3+ Years
