Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00003gTw34AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw35AAC,OK,,
0033j00003gTw36AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw37AAC,OK,,
0033j00003gTw38AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw39AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3AAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3BAAS,OK,,
0033j00003gTw3CAAS,OK,,
0033j00003gTw3DAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3EAAS,OK,,
0033j00003gTw3FAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3GAAS,OK,,
0033j00003gTw3HAAS,OK,,
0033j00003gTw3IAAS,OK,,
0033j00003gTw3JAAS,OK,,
0033j00003gTw3KAAS,OK,,
0033j00003gTw3LAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3MAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3NAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3OAAS,OK,,
0033j00003gTw3PAAS,OK,,
0033j00003gTw3QAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3RAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3SAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3TAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3UAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3VAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3WAAS,OK,,
0033j00003gTw3XAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3YAAS,OK,,
0033j00003gTw3ZAAS,OK,,
0033j00003gTw3aAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3bAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3cAAC,OK,,
0033j00003gTw3dAAC,Duplicate,Master: 0033j00003ipmVeAAI,Not Synced
0033j00003gTw3eAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3fAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3gAAC,OK,,
0033j00003gTw3hAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3iAAC,OK,,
0033j00003gTw3jAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3kAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3lAAC,OK,,
0033j00003gTw3mAAC,OK,,
0033j00003gTw3nAAC,OK,,
0033j00003gTw3oAAC,OK,,
0033j00003gTw3pAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3qAAC,OK,,
0033j00003gTw3rAAC,OK,,
0033j00003gTw3sAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3tAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3uAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3vAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3wAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw3xAAC,OK,,
0033j00003gTw3yAAC,OK,,
0033j00003gTw3zAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw40AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw41AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw42AAC,OK,,
0033j00003gTw43AAC,OK,,
0033j00003gTw44AAC,OK,,
0033j00003gTw45AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw46AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw47AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw48AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw49AAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4AAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4BAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4CAAS,OK,,
0033j00003gTw4DAAS,OK,,
0033j00003gTw4EAAS,OK,,
0033j00003gTw4FAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4GAAS,OK,,
0033j00003gTw4HAAS,Duplicate,Master: 0032A00002az4S8QAI,Not Synced
0033j00003gTw4IAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4JAAS,Duplicate,Master: 0033j00003wOypbAAC,Not Synced
0033j00003gTw4KAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4LAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4MAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4NAAS,OK,,
0033j00003gTw4OAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4PAAS,Duplicate,Master: 0033j00003wOrz6AAC,Not Synced
0033j00003gTw4QAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4RAAS,OK,,
0033j00003gTw4SAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4TAAS,OK,,
0033j00003gTw4UAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4VAAS,OK,,
0033j00003gTw4WAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4XAAS,OK,,
0033j00003gTw4YAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4ZAAS,OK,,
0033j00003gTw4aAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4bAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4cAAC,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw4dAAC,OK,,
0033j00003gTw7PAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw7QAAS,OK,,
0033j00003gTw7RAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw7SAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw7TAAS,OK,,
0033j00003gTw7UAAS,OK,,
0033j00003gTw7VAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw7WAAS,Delete,No Activity 3+ Years,Not Synced
0033j00003gTw7XAAS,Delete,No Activity 3+ Years,Not Synced
