Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0032A00002az082QAA,Delete,No Activity 3+ Years,Not Synced
0032A00002az2FzQAI,Delete,No Activity 3+ Years,Not Synced
0032A00002az3WxQAI,Delete,No Activity 3+ Years,Not Synced
0032A00002az3jRQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002azosBQAQ,Delete,No Activity 3+ Years,Not Synced
0032A00002azpMqQAI,Archive,Old Inactive Contact,
0032A00002azpm4QAA,Delete,No Activity 3+ Years,Not Synced
0032A000032KoJOQA0,Delete,No Activity 3+ Years,Not Synced
0033j00002OE1L6AAL,Delete,No Activity 3+ Years,Not Synced
0033j00003u2HOqAAM,OK,,
0033j00003wO8nnAAC,OK,,
0033j00003wOhe5AAC,OK,,
0033j00003wOpgcAAC,Delete,No Email or Phone,Not Synced
0033j000041A9EzAAK,Delete,No Email or Phone,Not Synced
0033j000041A9F0AAK,Delete,No Email or Phone,Not Synced
0033j000041A9F1AAK,Delete,No Email or Phone,Not Synced
0033j000041A9F2AAK,Delete,No Email or Phone,Not Synced
0033j000041AIXyAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041AKtgAAG,Delete,No Activity 3+ Years,Not Synced
0033j000041Ag3NAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041Ag3kAAC,Delete,No Activity 3+ Years,Not Synced
0033j000041Ag47AAC,Delete,No Email or Phone,Not Synced
0033j000041Ag88AAC,Delete,No Email or Phone,Not Synced
0033j000041Ag8AAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041AjouAAC,Delete,No Activity 3+ Years,Not Synced
0033j000041AjoyAAC,Delete,No Activity 3+ Years,Not Synced
0033j000041Ajp7AAC,Delete,No Activity 3+ Years,Not Synced
0033j000041AjpLAAS,Delete,No Email or Phone,Not Synced
0033j000041AjpXAAS,Delete,No Email or Phone,Not Synced
0033j000041AjpoAAC,Delete,No Activity 3+ Years,Not Synced
0033j000041AjpsAAC,Delete,No Activity 3+ Years,Not Synced
0033j000041AjpvAAC,Delete,No Email or Phone,Not Synced
0033j000041AjtmAAC,Delete,No Email or Phone,Not Synced
0033j000041AnyZAAS,OK,,
0033j000041AomTAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041AomVAAS,Delete,No Email or Phone,Not Synced
0033j000041AomeAAC,Delete,No Email or Phone,Not Synced
0033j000041AosQAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041AotNAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041AtTJAA0,Delete,No Email or Phone,Not Synced
0033j000041AtWhAAK,Delete,No Email or Phone,Not Synced
0033j000041AtXTAA0,OK,,
0033j000041B3TFAA0,Delete,No Activity 3+ Years,Not Synced
0033j000041BEVvAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041BnzLAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041BpYMAA0,Delete,No Email or Phone,Not Synced
0033j000041BqcUAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041BqcbAAC,Delete,No Activity 3+ Years,Not Synced
0033j000041Bqd2AAC,Delete,No Activity 3+ Years,Not Synced
0033j000041Bqd9AAC,Delete,No Email or Phone,Not Synced
0033j000041BqdCAAS,Delete,No Email or Phone,Not Synced
0033j000041BqdJAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041BqdRAAS,Delete,No Activity 3+ Years,Not Synced
0033j000041C85oAAC,Delete,No Activity 3+ Years,Not Synced
0033j000041CAFBAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CAFUAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CAFrAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAGBAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CAGGAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CAGeAAO,OK,,
0033j000041CAGgAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAGzAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAH4AAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAH7AAO,Delete,No Email or Phone,Not Synced
0033j000041CAHHAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CAHKAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CAHcAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAHhAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAJtAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAK8AAO,Delete,No Email or Phone,Not Synced
0033j000041CAKDAA4,Delete,No Email or Phone,Not Synced
0033j000041CAKEAA4,OK,,
0033j000041CAKSAA4,OK,,
0033j000041CAKZAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CAKcAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAL5AAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CAL8AAO,Delete,No Activity 3+ Years,Not Synced
0033j000041CALDAA4,Delete,No Email or Phone,Not Synced
0033j000041CALIAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CALUAA4,Delete,No Activity 3+ Years,Not Synced
0033j000041CALjAAO,Delete,No Activity 3+ Years,Not Synced
0033j000041Cwg7AAC,Delete,No Email or Phone,Not Synced
0033j000042ugYYAAY,Delete,No Email or Phone,Not Synced
0033j000042ugZBAAY,OK,,
0033j000042vD7OAAU,OK,,
