Id,Sync_Status__c
0033j00004B1wknAAB,Not Synced
0033j00004B1wkoAAB,Not Synced
0033j00004B1wkpAAB,Not Synced
0033j00004B1wkqAAB,Not Synced
0033j00004B1wkrAAB,Not Synced
0033j00004B1wktAAB,Not Synced
0033j00004B1wkuAAB,Not Synced
0033j00004B1wkvAAB,Not Synced
0033j00004B1wkwAAB,Not Synced
0033j00004B1wkxAAB,Not Synced
0033j00004B1wkyAAB,Not Synced
0033j00004B1wkzAAB,Not Synced
0033j00004B1wl1AAB,Not Synced
0033j00004B1wl2AAB,Not Synced
0033j00004B1wl3AAB,Not Synced
0033j00004B1wl5AAB,Not Synced
0033j00004B1wl6AAB,Not Synced
0033j00004B1wl8AAB,Not Synced
0033j00004B1wl9AAB,Not Synced
0033j00004B1wlAAAR,Not Synced
0033j00004B1wlBAAR,Not Synced
0033j00004B1wlCAAR,Not Synced
0033j00004B1wlDAAR,Not Synced
0033j00004B1wlEAAR,Not Synced
0033j00004B1wlFAAR,Not Synced
0033j00004B1wlGAAR,Not Synced
0033j00004B1wlHAAR,Not Synced
0033j00004B1wlIAAR,Not Synced
0033j00004B1wlJAAR,Not Synced
0033j00004B1wlKAAR,Not Synced
0033j00004B1wlLAAR,Not Synced
0033j00004B1wlMAAR,Not Synced
0033j00004B1wlNAAR,Not Synced
0033j00004B1wlPAAR,Not Synced
0033j00004B1wlQAAR,Not Synced
0033j00004B1wlRAAR,Not Synced
0033j00004B1wlSAAR,Not Synced
0033j00004B1wlTAAR,Not Synced
0033j00004B1wlUAAR,Not Synced
0033j00004B1wlVAAR,Not Synced
0033j00004B1wlWAAR,Not Synced
0033j00004B1wlXAAR,Not Synced
0033j00004B1wlYAAR,Not Synced
0033j00004B1wlZAAR,Not Synced
0033j00004B1wlcAAB,Not Synced
0033j00004B1wldAAB,Not Synced
0033j00004B1wleAAB,Not Synced
0033j00004B1wlfAAB,Not Synced
0033j00004B1wlgAAB,Not Synced
0033j00004B1wlhAAB,Not Synced
