Id,Clean_Status__c,Delete_Reason__c
0032A00002Xq5smQAB,Review,"Potential Account Match: Robert Hancock & Co. (HQ)"
0032A00002b6hC2QAI,Review,"Potential Account Match: AV Homes LLC (HQ)"
0032A00002b6hDrQAI,Review,"Potential Account Match: Intrepid Professional Group (HQ)"
0032A00002b6hDsQAI,Review,"Potential Account Match: Rockford Construction (HQ)"
0032A00002b6hDwQAI,Review,"Potential Account Match: Metropolitan America (HQ)"
0032A00002b6hE1QAI,Review,"Potential Account Match: Prime Urban Properties (HQ)"
0032A00002b6hEEQAY,Review,"Potential Account Match: Ogden & Company (HQ)"
0032A00002dUDCtQAO,Review,"Potential Account Match: Henderson Property Management (HQ)"
0033j00002NMGOMAA5,Review,"Potential Account Match: Grail Management Group (Orlando)"
0033j00003FeifKAAR,Review,"Potential Account Match: Alliance Residential Company"
0033j00003OQzCFAA1,Review,"Potential Account Match: Metro West Housing Solutions (HQ)"
0033j00003gTKiQAAW,Review,"Potential Account Match: Northwest Real Estate Capital Corp. (HQ)"
0033j00003gTnKCAA0,Review,"Potential Account Match: Pinnacle Homestead Management Inc (HQ)"
0033j00003gTnPmAAK,Review,"Potential Account Match: GRT Property Management (HQ)"
0033j00003gTnUcAAK,Review,"Potential Account Match: Franchi Management Company, Inc (HQ)"
0033j00003gTnceAAC,Review,"Potential Account Match: Dalad Group (HQ)"
0033j00003gTnfsAAC,Review,"Potential Account Match: CAPREIT Management (HQ)"
0033j00003gTnrjAAC,Review,"Potential Account Match: Carlisle Apartments, Inc. (HQ)"
0033j00003gTopeAAC,Review,"Potential Account Match: Geis Property Management LLC (HQ)"
0033j00003gTovEAAS,Review,"Potential Account Match: CSRE Management (HQ)"
0033j00003gTp1GAAS,Review,"Potential Account Match: Dolben Company (HQ)"
0033j00003gTpUjAAK,Review,"Potential Account Match: Tarantino Properties, Inc. (HQ)"
0033j00003gTqmQAAS,Review,"Potential Account Match: Hometeam Properties (HQ)"
0033j00003gTqzTAAS,Review,"Potential Account Match: Covenant Property Services"
0033j00003gTrWrAAK,Review,"Potential Account Match: Tarantino Properties, Inc. (HQ)"
0033j00003gTrcbAAC,Review,"Potential Account Match: Eagle Rock Management (Plainview)"
0033j00003gTs5HAAS,Review,"Potential Account Match: Wellington Advisors (HQ)"
0033j00003gTs5hAAC,Review,"Potential Account Match: CAPREIT Management (HQ)"
0033j00003gTt6oAAC,Review,"Potential Account Match: KRI Properties, Inc. (HQ)"
0033j00003gTt7XAAS,Review,"Potential Account Match: ZG Properties (Pepper Pike)"
0033j00003gTtT2AAK,Review,"Potential Account Match: Gables Residential (HQ)"
0033j00003gTtozAAC,Review,"Potential Account Match: PRG Real Estate Management (HQ)"
0033j00003gTuBpAAK,Review,"Potential Account Match: Dolben Company (HQ)"
0033j00003gTujkAAC,Review,"Potential Account Match: Thrive Communities, LLC (HQ)"
0033j00003gTuryAAC,Review,"Potential Account Match: Drucker + Falk"
0033j00003gTvESAA0,Review,"Potential Account Match: Senior Housing Options, Inc. (HQ)"
0033j00003gTvJ3AAK,Review,"Potential Account Match: Alexander Properties Group (HQ)"
0033j00003gTvKyAAK,Review,"Potential Account Match: ZG Properties (Pepper Pike)"
0033j00003gTvPlAAK,Review,"Potential Account Match: Associated Management (HQ)"
0033j00003gTwtLAAS,Review,"Potential Account Match: Bonner Carrington (HQ)"
0033j00003gTwwGAAS,Review,"Potential Account Match: Mayfair Management Group (HQ)"
0033j00003gTx2UAAS,Review,"Potential Account Match: TriArc Real Estate Partners (HQ)"
0033j00003gTxbiAAC,Review,"Potential Account Match: GRT Property Management (HQ)"
0033j00003gTxgpAAC,Review,"Potential Account Match: Harbor Management (HQ)"
0033j00003gTxicAAC,Review,"Potential Account Match: Harmony Group Capital, LLC"
0033j00003gTyPQAA0,Review,"Potential Account Match: Jones Street Investment Partners"
0033j00003gTylpAAC,Review,"Potential Account Match: Provence Real Estate (HQ)"
0033j00003gTyxSAAS,Review,"Potential Account Match: MSC Investments (HQ)"
0033j00003gTz8WAAS,Review,"Potential Account Match: Global Ministries Fellowship"
0033j00003gTzasAAC,Review,"Potential Account Match: Hometeam Properties (HQ)"
0033j00003gTzfNAAS,Review,"Potential Account Match: Young Management Corporation (HQ)"
0033j00003gTzyMAAS,Review,"Potential Account Match: Real Capital Group LLC"
0033j00003gU0PbAAK,Review,"Potential Account Match: Associated Management (HQ)"
0033j00003gU0agAAC,Review,"Potential Account Match: Eenhoorn, LLC (HQ)"
0033j00003gU0f5AAC,Review,"Potential Account Match: Berkshire Residential Investments (San Francisco)"
0033j00003gU0gzAAC,Review,"Potential Account Match: Promark Partners (HQ)"
0033j00003gU0haAAC,Review,"Potential Account Match: Brown Investment Properties (HQ)"
0033j00003gU0knAAC,Review,"Potential Account Match: Gables Residential (HQ)"
0033j00003gUBOkAAO,Review,"Potential Account Match: Alliance Residential Company"
0033j00003gUEQvAAO,Review,"Potential Account Match: Gables Residential (HQ)"
0033j00003gUIqmAAG,Review,"Potential Account Match: Lindsey Management Company (HQ)"
0033j00003gUJ78AAG,Review,"Potential Account Match: Capstone on Campus Management, LLC (Vestavia Hills)"
0033j00003gUK3JAAW,Review,"Potential Account Match: Independence Realty Trust"
0033j00003gUK9yAAG,Review,"Potential Account Match: Hadler Real Estate Management, Inc. (HQ)"
0033j00003gUKRXAA4,Review,"Potential Account Match: Link Property Management (HQ)"
0033j00003gUOezAAG,Review,"Potential Account Match: The Aspenwood Company (HQ)"
0033j00003gUPO8AAO,Review,"Potential Account Match: Provence Real Estate (HQ)"
0033j00003gUQ8HAAW,Review,"Potential Account Match: Dolben Company (HQ)"
0033j00003ke8J2AAI,Review,"Potential Account Match: Advanced Management Group (HQ)"
0033j00003q4CxFAAU,Review,"Potential Account Match: MCM Property Management (HQ)"
0033j00003u01OGAAY,Review,"Potential Account Match: Fairstead (HQ)"
0033j00003u08AQAAY,Review,"Potential Account Match: Fairstead (HQ)"
0033j00003u2ZtFAAU,Review,"Potential Account Match: ResProp Management"
0033j00003yqlysAAA,Review,"Potential Account Match: Irvine Company (HQ)"
0033j00003ze3KlAAI,Review,"Potential Account Match: Chamberlin & Associates"
0033j000041A6lVAAS,Review,"Potential Account Match: Burkhalter Commercial Group (HQ)"
0033j000041A7cxAAC,Review,"Potential Account Match: Zidan Management Group (HQ)"
0033j000041ADyKAAW,Review,"Potential Account Match: AHEP National Housing Corporation (HQ)"
0033j000041AERsAAO,Review,"Potential Account Match: J.C. Hart Company, Inc (HQ)"
0033j000041AES2AAO,Review,"Potential Account Match: Blackburn Property Management (HQ)"
0033j000041AESbAAO,Review,"Potential Account Match: Soundview Equities LLC (HQ)"
0033j000041AESgAAO,Review,"Potential Account Match: AHEP National Housing Corporation (HQ)"
0033j000041AESlAAO,Review,"Potential Account Match: Greencroft Communities (HQ)"
0033j000041AETFAA4,Review,"Potential Account Match: Haven Residential"
0033j000041AETjAAO,Review,"Potential Account Match: Bradley Company (HQ)"
0033j000041AEU8AAO,Review,"Potential Account Match: Buisson Investment Corporation (HQ)"
0033j000041AEYUAA4,Review,"Potential Account Match: House Investments (HQ)"
0033j000041AEZXAA4,Review,"Potential Account Match: CFC Properties (HQ)"
0033j000041AEa1AAG,Review,"Potential Account Match: Bradley Company (HQ)"
0033j000041AEpGAAW,Review,"Potential Account Match: Oxford Companies (HQ)"
0033j000041AEsoAAG,Review,"Potential Account Match: Oxford Companies (HQ)"
0033j000041AEyIAAW,Review,"Potential Account Match: Story Point Senior Living (HQ)"
0033j000041AHCdAAO,Review,"Potential Account Match: ISM Management Company (HQ)"
0033j000041AHKmAAO,Review,"Potential Account Match: The Michaels Organization (HQ)"
0033j000041AHLLAA4,Review,"Potential Account Match: The Michaels Organization (HQ)"
0033j000041AHdAAAW,Review,"Potential Account Match: CSI Support & Development (HQ)"
003F000001eux8hIAA,Review,"Potential Account Match: Gates Hudson  (HQ)"
003F000001grDiHIAU,Review,"Potential Account Match: Coachlight Communities, LLC (HQ)"
003Rh00000XP08VIAT,Review,"Potential Account Match: Titan Corp (HQ)"
003Rh00000XP0lIIAT,Review,"Potential Account Match: Optima, Inc."
0032A000039MwfmQAC,Review,"Potential Account Match: CSM Corporation (HQ)"
0033j00003gSyg2AAC,Review,"Potential Account Match: H2 Real Estate (HQ)"
0033j00003gToRSAA0,Review,"Potential Account Match: RHM Real Estate Group (HQ)"
0033j00003gTpfaAAC,Review,"Potential Account Match: Tricap Residential Group (HQ)"
0033j00003gTpyNAAS,Review,"Potential Account Match: Beztak Properties (HQ)"
0033j00003gTvWYAA0,Review,"Potential Account Match: Harvest Properties (HQ)"
0033j00003gTvaWAAS,Review,"Potential Account Match: American Apartment Management Company Inc (HQ)"
0033j00003gTzlsAAC,Review,"Potential Account Match: Paths Management Services (New York)"
0033j00003gU0J3AAK,Review,"Potential Account Match: Ovation Realty Management LLC (Tampa)"
0033j00003gU0a9AAC,Review,"Potential Account Match: ECI Group (HQ)"
0033j00003gU6LBAA0,Review,"Potential Account Match: Nelkin Real Estate (HQ)"
0033j00003gUEgsAAG,Review,"Potential Account Match: Catholic Charities Housing  (Denver)"
0033j00003gUPw0AAG,Review,"Potential Account Match: Kenco Apartment Communities (HQ)"
0033j00003kfy1xAAA,Review,"Potential Account Match: Bond Companies"
0033j000041AHfuAAG,Review,"Potential Account Match: American House Senior Living Communities (HQ)"
