file_name,relative_path,type,size_bytes,lines,functions,has_shebang,has_set_e,has_eval,has_bare_except,has_subprocess,has_credentials,has_todo,is_executable,last_modified,category,purpose,dependencies,issues,optimization_potential,priority
test-renewal-automation.sh,test-renewal-automation.sh,shell,7807,192,0,True,False,False,False,False,False,False,True,2025-08-21T10:48:13.697827,testing,No description found,,missing_set_e,low,normal
validate-soql.sh,validate-soql.sh,shell,14698,452,9,True,True,False,False,False,False,False,True,2025-08-29T14:37:00.919735,validation,SOQL Query Validation and Optimization Script,,,low,normal
cleanup-mcp.sh,cleanup-mcp.sh,shell,9234,330,9,True,True,False,False,False,False,False,True,2025-08-23T19:41:08.443744,integration,No description found,,,low,normal
run-revops-assessment.sh,run-revops-assessment.sh,shell,2527,75,0,True,True,False,False,False,True,False,False,2025-08-27T13:38:00.584900,general,No description found,,potential_credentials,medium,critical
test-error-management.sh,test-error-management.sh,shell,2786,88,0,True,True,False,False,False,False,False,True,2025-08-29T16:41:41.307374,testing,Test the error management system,,,low,normal
test-rollup-solution.sh,test-rollup-solution.sh,shell,6196,177,1,True,False,False,False,False,False,False,True,2025-08-20T13:15:17.758190,testing,No description found,,missing_set_e,low,normal
validation-rule-manager.sh,validation-rule-manager.sh,shell,17147,504,12,True,True,True,False,False,True,False,True,2025-08-29T14:18:11.228591,validation,Validation Rule Cache & Analysis Manager,,uses_eval|potential_credentials,high,critical
claude-instance-manager.sh,claude-instance-manager.sh,shell,4952,157,4,True,False,False,False,False,False,False,True,2025-08-26T16:39:39.075835,integration,No description found,,missing_set_e,low,normal
smart-import-orchestrator.sh,smart-import-orchestrator.sh,shell,17902,560,11,True,True,False,False,False,True,False,True,2025-08-29T14:13:02.526556,data_operations,Intelligent Import Strategy Orchestrator,,potential_credentials,high,critical
chunked-operations.py,chunked-operations.py,python,20277,571,2,True,False,False,True,True,False,False,True,2025-08-29T16:44:55.817811,general,No description found,json|csv|sys|subprocess|time|pathlib|typing|datetime|logging|hashlib,bare_except,high,high
